parent_asin,title,description
B00D31EAJ0,Fresh Deck Poker - Mafia World & Texas Holdem Gang,"['Meet Fresh Deck Poker! First-of-its kind Poker game set in a world of international organized crime. A diverse, living world in which you can explore dangerous cities filled with mobsters, crime bosses and clans. Take Jobs from bosses of the most infamous gangs. Play Texas Holdem poker in different exciting locations all over the world, from a Chinese restaurant to a luxury yacht. Get your avatars to look as dangerous as possible, you know… you\'re in the mafia now!"" FEATURES:♠️ Play Texas Holdem poker in Cash games and SNG in different rooms and cities. ♣️ Choose your own path to glory as you complete jobs given by crime bosses from all over the world. ♠️ Explore the casino world through gorgeous 3D city maps. ♣️ Progress to unlock new cities and locations, taking on bigger and more dangerous jobs. ♠️ Enjoy our unique fully animated avatars! Sit at poker tables full of gangsters like you’ve never seen before. ♣️ Gain the TRUST of every gang you meet as you complete Jobs for them. ♠️ Win rewards and get promoted to higher ranks within each gang!♣️ Participate in Sit N\' Go tournaments to show off your skills. ♠️ Collect gang items to discover more info about them. Unravel the mystery of the Poker Syndicate and the identity of the boss of all bosses: The Shadow Joker.♣️ LEADERBOARDS: See how you stack up against other players or your friends in the Social area.If you crave the nightlife, risk, and thrill of playing card games in a realistic experience that will make you feel like you’re sitting at a table in Vegas, then you will LOVE Fresh Deck Poker! Come play the best online poker game with THOUSANDS of people online every day!Fresh Deck Poker is the FIRST free mobile poker game to offer an immersive experience in matches that take place in locations all over the world. Choose your avatar, show off, and dominate the poker games!']"
B06XSMCDV1,Star Wars: Puzzle Droids™,"['Explore the galaxy with your favorite droids to experience the Star Wars™ saga like never before in a brand new match-3 adventure. Tap into the memories of BB-8 and R2-D2 more for an epic retelling of the Star Wars saga from their unique perspective. Experience the stories of Star Wars: The Force Awakens and Star Wars: A New Hope. The journey will feature familiar scenes and previously untold moments alongside exciting gameplay and interactive puzzle boards. You’ll even meet characters such as Rey, Han Solo, Poe Dameron, and more. Are you ready to embark on the ultimate Star Wars puzzle adventure?• UNLOCK memories to experience iconic moments and previously untold stories through the eyes of some of your favorite Star Wars droids• MATCH-3 to create combos, clear obstacles, and face-off against enemies in over 100 levels• UNLEASH epic power-ups to help you clear the board and complete your goals• EXPLORE a galaxy far, far away! Journey across Jakku, Takodana, and the Death Star alongside BB-8 and R2-D2• COLLECT characters like Rey, Han Solo, Maz Kanata and more! Complete missions to level up your characters and earn rewardsBefore you download this experience, please consider that this app contains:• Social media links to connect with others;• In-app purchases that cost real money;• The option to accept push notifications to let you know when we have exciting updates like new content;• Advertising for some third parties;• As well as advertising for The Walt Disney Family of CompaniesWe respect your wishes regarding your Privacy. You can exercise control and choice by resetting your Advertising Identifier in your device’s Privacy Settings.You can upload and save content from this app to your devicePrivacy Policy – http://disneyprivacycenter.comTerms of Use – http://disneytermsofuse.com']"
B01FYI9U6C,Microsoft Translator,"['Microsoft Translator is a free, personal translation app for more than 70 languages, to translate text, voice, conversations, camera photos and screenshots. You can even download languages for offline translation for free to use when you travel!• Text translation into over 70 languages*, for online and offline use• Camera translation to translate text within photos and screenshots• Voice translation to translate speech, and a split-screen mode for two participants having a bilingual conversation• Multi-person conversation translation - connect your devices and have in-person conversations with up to 100 people across multiple languages• Phrasebooks for verified translations and pronunciation guides to help you learn important phrases in foreign languages when you travel• Look up alternate translations and meanings of a word to find the best translation to express yourself• Download languages for offline use for when you travel without an internet connection• Hear your translated phrase out loud to help you learn how to say the translation• View transliterations (pronunciation guides) to help you pronounce the translation (includes Pinyin support for Chinese)• Share your translations with other apps • Pin and save your most frequent translations for later• Translate text in other apps through context menu translation• Speak to your Android Wear smart watch to get an instant translation• Automatically sync translations between your phone and Android Wear smart watch  Translator supports the following languages:\u202f Afrikaans, Arabic, Arabic (Levantine), Bangla, Bosnian (Latin), Bulgarian, Cantonese (Traditional), Catalan, Chinese Simplified, Chinese Traditional, Croatian, Czech, Danish, Dari, Dutch, English, Estonian, Fijian, Filipino, Finnish, French, German, Greek, Gujarati, Haitian Creole, Hebrew , Hindi, Hmong Daw, Hungarian, Icelandic, Indonesian, Irish, Italian, Japanese, Kannada, Kazakh, Korean, Kurdish (Central), Kurdish (Northern), Latvian, Lithuanian, Malagasy, Malay, Malayalam, Maltese, Maori, Marathi, Norwegian, Odia, Pashto, Persian, Polish, Portuguese (Brazil), Portuguese (Portugal), Punjabi, Queretaro Otomi, Romanian, Russian, Samoan, Serbian (Cyrillic), Serbian (Latin), Slovak, Slovenian, Spanish, Swahili, Swedish, Tahitian, Tamil, Telugu, Thai, Tongan, Turkish, Ukrainian, Urdu, Vietnamese, Welsh, Yucatec Maya Microsoft Translator is powered by cutting-edge technology used by Office, Bing, Skype, and Edge as well as by partners such as Adobe, LinkedIn and more.\u202f  Location Permission: Microsoft only uses your location to show you where conversation occurred. We display this location in your conversation history. *Some features are not available in all languages.']"
B00ZGCOO7W,Amazon Drive,"['Amazon Drive provides easy access to the documents, music, photos and videos that you have stored in Amazon Drive. Store your important files in Amazon Drive and keep them secure even if your Android is lost or damaged. Upload your content to Amazon Drive from any computer and preview, share and enjoy it on all your devices.']"
B07FL2QPJ1,Bingo Journey,"['Bingo Journey is the bingo game where you can win the most! Compete with players from around the world in special rooms designed like different countries and much fun. The high quality images and animation will make you feel like you’re really there! * When you play Bingo Journey we will give you 500 cashes & 50 powerups to start out.* Every day you log in you will get a bonus gift of 180+ cashes – you don’t want to miss a day! * Play against real people in real time. * Compete with rivals from all over the world in Bingo Journey. * Play in 30+ different Bingo game rooms. We will be rolling out more rooms all the time! * Each room has it’s own kind of scenery… so playing Bingo Journey is a way of traveling! * 7 types of power-ups let you get rewards and have a higher chance of winning Bingo games. * Every room has 12 special collectible items for you to discover. Collect them all to win a big prize!Bingo Journey contains optional in-app purchases. This product is designed for people 21 years of age or older and is for entertainment purposes only. Practicing and succeeding in social games does not mean that you will succeed in real money gambling in the future.The game does not offer ""real money gambling"" or an opportunity to win real money or rewards.']"
B01FVW6QFY,The Last Dream,"['The Last Dream: Developers Edition is a casual adventure game which, despite having some classic casual elements, will also offer a greater challenge for more experienced gamers. TRY IT FREE, THEN UNLOCK THE FULL ADVENTURE FROM WITHIN THE GAME!""Every night your beloved wife Elizabeth, who died in a car accident, comes to you in your dreams. She seems to be calling for you - why? One morning you find a strange clue from your dream which sets you on to a path full of adventure and intrigue – the path to your wife? Your reality is now mixed with your dreams as you battle with unimaginable invisible forces that are trying to stop you meeting with Elizabeth. Undeterred, you pursue her ghost, discovering new clues in a variety of locations as well as meeting a fluffy feline who will help you on your way. Is this reality or a dream? Whatever it is, you know you have no choice – after all, you love your wife and are ready to do anything to save her…""']"
B00DDXJRJG,Music Volume EQ,['Enhance your music listening experience. Make it your Android sounds like never before. Music Volume EQ is a volume slider with live music stereo led VU meter and five band Equalizer with Bass Boost and Virtualizer effects. Improve sound quality on your Android device and get live readings of your current music volume level. Use with headphones for best results. Works with most Music players such as: * Android Music Player * Winamp * Google Music * MixZing and more Installation and usage: Put headphones. Turn on the music player and play your music. Open Music Volume EQ app and adjust sound level and frequency.']
B00CY9YPFQ,Slots Crush,"[""The #1 FREE SLOTS game with awesome slot experience! You'll have access to 5 reel slot games with tons of bonus features to keep you winning again and again! Play the most popular slot machines on your iPhone/iPod anywhere, anytime! Slots Crush Features:-Claim FREE Chips Hourly!-Get up to 50 FREE Spins!-Awesome Animation for Cool Slots Experience!-Bonus Mini-games for Higher chance of Winning! -Full iPhone5 Support!""]"
B00FS0VUWO,Airplane!,['Ding... the pilot has turned on the Fasten Seat Belt sign! Things are going to get dicey! Whoa Ho! Someone left the engines running and now you get to pilot your own plane! Airplane! lets you have all the fun the big boys have by flying your plane from airport to airport delivering cargo and passengers. No need to spend days in flight school.']
B08BLQ6LX2,Hawaii Match-3 Mania: House & Garden Renovation Game,"[""Welcome to the tropical island where young Katie Lockwood has returned to her family’s beautiful yet damaged mansion! She needs your help to rebuild it after a hurricane and bring it back to its former glory!Embark on an adventurous journey: beat match-3 puzzles, decorate rooms according to your taste, restore the mansion’s gorgeous beach and enjoy the company of amusing characters. Get to the bottom of family secrets and find out the Lockwoods’ mysterious history, which began more than two hundred years ago, when pirates plied the surrounding seas!- PLAY through dynamic match-3 levels and explore picturesque locations around the paradise island- WIELD incredible boosters and power-up combos\xa0- LIVE out your home designer dreams with hundreds of exciting and colorful options-\xa0CREATE your own unique & stylish tropical manor- UNCOVER the secrets of Katie’s ancestors and reunite the family\xa0- FOLLOW your friends’ progress with the innovative built-in social network- UNLOCK all of the mansion's areas to renovate, design and develop!While this game is absolutely free to play, you have the ability to unlock optional bonuses via in-app purchases from within the game. You may disable in-app purchases in your device settings.You can play this game whether you’re offline or online.* Game available in: English, Chinese, Traditional Chinese, French, German, Italian, Japanese, Korean, Russian, SpanishTerms of Service: http://www.g5e.com/termsofserviceG5 End User License Supplemental Terms: http://www.g5e.com/G5_End_User_License_Supplemental_Terms""]"
B00BRVKYPC,Calculator^(Kindle Tablet Edition),"['Calculator^ is simple yet powerful calculator for Kindle Fire and other Android devices. This calculator is useful for your daily calculation needs. It supports all basic and arithmetic functions like multiplication, addition, subtraction, division, root and power. It has stunning graphics and easy to use interface designed with large buttons and a simple layout. Missing a calculator app on your Device? It is specially designed for your Kindle Fire with a beautiful HD theme. It’s graphics visible in direct sunlight and during a dark night. Calculator^ is best use for everyone such as teachers, math/physics students, accountants, engineers, scientist who love math. It has the fastest launch possible so you will have access to your calculator within seconds! ***** App Features *****- Specially designed for Kindle Fire - Elegant and intuitive modern interface - Fast and Easy To Use, No Hassle Just Answer - Stunning Graphics- Display both the equations and the result at the same time with explanation - Support all Simple and basic calculations And Much More Feel free to contact us with feature and update suggestions. Tech Support Email: support@digifungames.com We love your feedback, Thanks a lot!']"
B00IVDON8S,iFood.tv,"['iFood.tv brings over 40,000 trustworthy food videos to add happiness to your life. All this content is filtered to match your taste. Find recipes that are easy to cook. Improve your cooking skills and satisfy your culinary curiosity. We have recipes for every taste with over 500 top channels including :CUISINE BASED CHANNELS African Recipes American Recipes Asian Recipes Canadian Recipes Caribbean Recipes Chinese Recipes Continental Recipes Cuban Recipes English Recipes European Recipes French Recipes Fusion Recipes German Recipes Greek Recipes Indian Recipes Italian Recipes Japanese Recipes Jewish Recipes Mediterranean Recipes Mexican Recipes Moroccan Recipes Oceanian Recipes South American Recipes Spanish Recipes Thai Recipes COURSE BASED CHANNELS Appetizer Beverage Breakfast Dessert Main Dish Side Dish Snack Wine and Drink HEALTHY FOOD CHANNELS Beach Diet Diabetic Food High Protein Low Calorie Low Carb Low Fat Low Sodium INTEREST BASED CHANNELS Everyday Gourmet Healthy Kids Food Organic Food Party Food Pregnancy Food Quick Food Raw Food VEGETARIAN CHANNELS Lacto Ovo Veg Vegan Vegetarian TASTE BASED CHANNELS Meaty Salty Savour Sour Spicy Sweet OCCASION BASED CHANNELS Christmas Recipes Diwali Recipes Eid Recipes Halloween Recipes Holi Recipes Holidays Recipes Thanksgiving Recipes Vrat Recipes Wedding Recipes WINE RELATED CHANNELS Wine Education Wine Review Wine Pairing Wine Travel INGREDIENT BASED CHANNELs Chicken Dishes Rice Dishes Pasta Dishes Poultry Dishes Beef Dishes Pork Dishes']"
B00BMNM4H6,"sugar, sugar","[""Draw with your finger on the screen to direct enough sugar in all the cups in each level. New puzzle elements are introduced as you make progress: color filters, gravitation switches, teleports and so on.The realistic physics result in thousands of sugar particles trickling down the screen.This is the official 'sugar, sugar' game by Bart Bonte, a physics puzzle game for you!In almost every update new levels are added! 120 levels and counting!In the additional sandbox mode you can draw anything you want!Sugar, Sugar is that sweet puzzle game you know from the browser but completely redesigned for mobile with new graphics and tons of new levels.Enjoy!@BartBonte""]"
B00N35P5MW,Montezuma Puzzle 3 Premium,['New version of this successful puzzler! Montezuma Puzzle is a relaxing and logical tiling Puzzle game in the Ancient Aztec Empire scenery. Arrange the puzzle shapes in the right patterns. Sounds simple? Try out! Thanks to our players and their support!']
B00MNOTWAK,WWE SuperCard - Battle Cards,"['From the creators of NBA 2K, WWE 2K, and WWE 2K Battlegrounds, WWE SuperCard is the longest-running WWE game where competitive card games join legendary WWE Superstars! Get in on the action with Season 9 updates! Battle in new game modes and enjoy fresh updates & rewards. Superstars, get your battle cards ready!Use card strategy skills to locate rival game pieces before they find you in all new TLC matches! Slam through the competition with countless WWE Superstars from your favorite eras and lead them to glory. TLC combines the excitement of action card games with one of the most popular match types in WWE history. Enjoy competitive card games in tiered, real-time PVP matches like 24/7 Champions and other game modes. Have your card battles narrated by a popular WWE announcer for an authentic experience. Leg drop, Rock Bottom, and slam your opponent into the virtual mat with your ultimate team of Superstars!Collect and battle cards with WWE Legends and Hall of Famers from throughout WWE history to become the ultimate card collector. Fight with WWE Legends like Dwayne “The Rock” Johnson, John Cena, Undertaker, and “Stone Cold” Steve Austin. WWE SuperCard Champions await!Action card collecting and WWE make the ultimate tag team. Become a champion in the ring and join millions of players in high-octane CCG gameplay.The SuperCard universe expands with each update based on WWE Network premium-live-events such as Royal Rumble, Survivor Series, SummerSlam and more! Card battle with WWE Superstars and Legends alike from popular shows like SmackDown and Monday Night Raw.Join reigning champion Roman Reigns and a slew of stars ready to rumble:- Brock Lesnar- Rey Mysterio- Hulk Hogan- Bianca Belair- Drew McIntyre- Asuka- AJ Styles- And much more!WWE SuperCard FEATURES:NEW TLC Game Mode- Build a card deck to dominate the board against other players- Face off in a PVP competitive card game as you try and locate the opponent’s game pieces- Take out the competition as you fight for territoryCard Strategy & Battle- Play with friends & fight others in electrifying CCG action- Use strategy to rule the ring in this card collector game- New equipment update lets you boost your talent’s abilities for an edge in matches!WWE Card Collecting- Collect cards featuring WWE Superstars, NXT Superstars, WWE Legends, and WWE Hall of Famers- WWE Champions: Mr. T, André the Giant, “Macho Man” Randy Savage, Batista, Randy Orton, Big E, Becky Lynch, Finn Bálor, and more!- Enjoy Champs Boost+ when using a WWE Superstar currently holding a championship- Card collector abilities let you level up your cards in the Performance Center while offline- WWE Network PPV event superstars join your deck through collectible cardsAction Card Games- Survivor mode brings an all new look and feel to your card face-offs- Atomic Drop: Win rewards by dropping tokens down a board- Tag Team Takedown: Co-op games with epic rewards- PVP multiplayer with real-time card battles- Compete with the ultimate team in Team BattlegroundEvents, Challenges & Rewards- Season 9 offers newly updated rewards- Collect cards by opening weekly packs containing your favorite Superstars and unique prizes- Card strategy game modes and rotating events shake up play and offer new cards- Deck building just got stronger with daily log-in rewards and Open ChallengesCollect cards of WWE Superstars and battle in the new Season 9!Do Not Sell My Personal Information: https://www.take2games.com/ccpa']"
B00M1EAQHK,PayPal,"[""Effective July 1, 2016, only the PayPal mobile web experience is available for Amazon devices. The latest PayPal app for Amazon will now take you to the mobile web experience where you can still send peer-to-peer payments and have many of the same features that were provided in the app previously. Older app versions of PayPal will no longer be supported.SEND & REQUEST MONEYPay back a friend for lunch. Chip in for a gift. Collect money for a work outing. PayPal lets you transfer money between friends instantly. MANAGE YOUR ACCOUNTCheck your balance, see your transactions, and more —anytime, anywhere. EVEN MORE… Online or on-the-go, your financial info is always secure with PayPal.We're always listening so please continue to send us comments or suggestions to mobile-apps@paypal.com.""]"
B01G9GQXYU,Get Rich Slots Games: Free Slot Machine Games!,"['PLAY GET RICH SLOTS! Get Rich Casino Slot machines brings the best Las Vegas Casino Slot machines to you for free! PLAY ONLINE OR OFFLINE, FREE BONUSES EVERY DAY! Enjoy the thrills of Vegas FREE every day -- any time, any place -- with Get Rich Slots!']"
B00XKFGBD2,WGT Golf,"['The #1 free 3D golf game, by TOPGOLF Media, as seen on NBC Sports, Golf Channel, DIRECTV and Fox Sports. Featuring new Stroke Play on the Front 9 of Pebble Beach; Plus Celtic Manor (2010 Ryder Cup), Bandon Dunes, Chambers Bay and St Andrews from the PGA Tour. This sports game is a full game simulation built with the best GPS and 3D technology. WGT is a rewarding game that is easy to start and hard to master.Help and Support: We love to hear from you http://www.wgt.com/help-request.aspxWGT Golf Mobile requires a fast internet connection. Game is free to play with option to purchase credits to upgrade equipment or compete in challenges to earn credits. World Golf Tour players can use their existing accounts and virtual golf equipment.FAMOUS GOLF COURSES Unlock over 15 free championship golf courses in realistic HD, including: Pebble Beach (2010 U.S. Open), Chambers Bay (2015 U.S. Open), Bandon Dunes (ranked #1 golf resort by Golf Digest), Bethpage Black (2019 PGA Championship, 2024 Ryder Cup), Celtic Manor (2010 Ryder Cup), Congressional Country Club (2011 U.S. Open), Kiawah Island (2012 PGA Championship), Olympic Club (2012 U.S. Open), Pinehurst Resort (2014 U.S. Open), Royal St. George’s (The Open Championship 2011), St Andrews (The Open Championship 2015), Valhalla Golf Club (2014 PGA Championship)MULTIPLE GAME FORMATSMultiplayer head-to-head stroke play competition against friends or other players with live chat and competitive leaderboardsSingle-player full 18-hole stroke play and 9-hole closest-to-the hole golf gamesIntroducing Topgolf multiplayer game mode, compete with up to six players featuring unique scoring system that awards points for hitting targets in the outfieldFree and sponsored tournaments: including the Virtual PGA Championship (grand prize trip to the PGA Championship), Virtual U.S. Open (grand prize trip to the U.S. Open Championship), WGT Virtual Tour Championship (covered by the Golf Channel and NBC Sports), and many moreHole-in-One challengesREALISTIC GOLF SIMULATIONChoose from a full set of free virtual golf equipment including driver, woods, hybrid, irons, wedges, putter and ballRealistic golf swing options including full, punch, pitch, chip, flop, puttChallenging golf lies from anywhere on the course including tee, fairway, rough, fescue, bunker, greenVIRTUAL GOLF EQUIPMENT Upgraded virtual golf clubs from Callaway, Cleveland, Cobra, Odyssey, Ping, TaylorMade, etc.Upgraded virtual golf balls from Callaway, Srixon, TaylorMade, Volvik, etc.Upgraded game boosts, training tools, golf course notebooks, etc.SOCIAL GOLF FUNInvite friends to compete in multiplayer games with live chatJoin virtual country clubs for private tournamentsShare your best golf shots with friends via Facebook or TwitterGet your replays and scorecards featured on Facebook, YouTube and Golf Channel TVPrivacy Policy http://m.wgt.com/privacyTerms of Service http://m.wgt.com/termsCONTACTFacebook: https://www.facebook.com/wgtgolf Twitter: https://twitter.com/worldgolftour Twitch: http://www.twitch.tv/wgtgolf YouTube: https://www.youtube.com/wgters Google+: https://plus.google.com/102029474947897232513 Instagram: http://instagram.com/worldgolftour Help Support: http://m.wgt.com/help/request']"
B09C5FTX3T,Magic Jewel Quest - Mystery Match 3 Puzzle Game 2023,"['You are one of the wizards or witches in this magical world! Go on quests and adventures to help your fellow wizards and witches collect magical items such as jewels, treasures, and more!Legend has it that the the palace was robbed of their most valuable treasures! Tons of gold, precious diamonds, jewels, gems - everything disappeared into the mysterious desert! And has never been found again! The sultan has invited you to his sultanate to help solve the ancient mystery of treasure, theft, tears and joy. Spend magical Arabian Nights and solve exciting puzzles to find all hidden treasures in the mysterious cave of secrets! ��️Play magical match 3 puzzles to retrieve gems, jewels and of course the magic golden lamp and have your biggest wishes come true! Embark on an adventure you will never forget in search of genies & gems, jewels & gold, fun & entertainment!Are you hungry for some magical adventures? They are waiting for you!-Match, swap, crush and solve hundreds of challenging levels and dive into hours of enchanting game fun!-Collect gold, gems, jewels, keys, and magic lamps! Can you find all treasures?-Use fantastic and powerful boosters to make your way through stages quicker!-Enjoy regular updates for an even better game experience and new levels!Download Magic Jewel Quest - Mystery Match 3 Puzzle Game 2023 now and start your treasure hunting journey today!']"
B017BQLU4A,Word Trek Puzzle Game,"[""Word Trek Puzzle Game is an addictive word game that can keep your mind engaged for hours. The rules are simple. You need to find words hidden in a grid. Slide & drag your finger over them to solve the puzzle. The grids get larger as you progress, and the puzzles get trickier. Your brain score increases, cheery characters evolve – the challenge is to take your brain score from that of an Amoeba to an Alien. Sounds too easy? Then step up and prove that you can word up to the Alien level!Word Trek Puzzle Game has more than 600 puzzles with 3000+ words. The game’s brain teasers test your vocabulary, lateral thinking & puzzle solving skills. No rush, no stress. It’s a great way to challenge your brain & learn new words. 2x2 puzzles: Exercise your ability to quickly find simple words3x3 puzzles: Improve your brain’s attention and crossword solving abilities. 4x4 puzzles: Practice your ability to divide your attention and find multiple words Improve your vocabulary and spelling skills.5x5 puzzles: Test, improve and exercise your knowledge of word relationships.6x6 puzzles: Practice your verbal and nonverbal working memory to increase the span of your immediate memory.If you get stuck at a puzzle, you can use hints or ask your friends for help.Pay attention to what order the words appear in the grid at the bottom of the screen. If you don't find the words in the right order, you'll get stuck!Be mindful of what letters you choose for each word to avoid getting into dead-end situations when solving the puzzle. If that happens, just give it another try by restarting the level.All puzzles are solvable, but only a few players have managed to solve all the word challenges. Do you have what it takes? Word Trek Puzzle Game, a game for the true Word genius""]"
B075M4Q3Y1,Vermillion Watch: Moorgate Accord Collector's Edition,"['Play the trial for FREE! Pay once & complete the adventure!When your uncle is killed by a monster appearing to be the fabled Mr. Hyde, you find yourself enlisted into a secret organization known as the Vermillion Watch. This society is responsible for fighting the forces of evil, but was supposed to be disbanded 20 years ago after a treaty between the light and dark called the Moorgate Accord was signed. Someone has broken the truce, and the war has begun again!• STOP THE MONSTER FROM TERRORIZING LONDON!Dr. Jekyll was executed years ago, so how is Mr. Hyde still alive? Your uncle’s burden now falls on your shoulders, and you must prove yourself worthy!• CAN YOU FIND THE SECRETS BURIED IN YOUR FAMILY HISTORY?Unearth the skeletons in your closet through colorful hidden object scenes. • LEAD THE CHARGE OF A FAMOUS CAST OF CHARACTERSA group of familiar heroes will assist you in solving intricate puzzles and mysterious mini-games.• FOIL A FAMOUS CON ARTISTS IN THE EXCITING BONUS CHAPTERTrack down another villain and enjoy additional Collector’s Edition exclusives including collectible Signs, morphing objects, and more!*** Discover more from Big Fish Games*** Sign up for our newsletter and never miss a new release or promotion again: http://bigfi.sh/AndroidSplashCheck out our entire game library with our Big Fish Games app absolutely FREE here: http://bigfi.sh/BFGAMAmzn Visit Big Fish Games, a leading developer, producer, and publisher of puzzle, adventure, casual, card & casino games!VISIT US: www.bigfishgames.comWATCH US: www.youtube.com/bigfishgamesFOLLOW US: www.twitter.com/bigfishgamesTALK TO US: www.facebook.com/bigfishgames']"
B006HUWEHY,Hot Donut,"[""ROLL, JUMP, DASH your way through awe-inspiring worlds. Incredibly simple, yet difficult to master, one-touch control is highly addictive. Get amazing gifts and power-ups every 5 levels!─────────────────────FEATURESSIMPLE ONE TOUCH ROLL AND FLYJust touch anywhere on the screen to increase gravity and roll down hills. Let go at the top of the hill to fly through the air.DASH DASH DASHNot going to make it over a gap? Don't worry - just DASH and make the landing.POWER-UPSEarn power-ups to make your donut DASH UPWARDS, or FLOAT in mid air, or get a spontaneous BOOST of speed.CUTE GRAPHICS, BEAUTIFUL WORLDSExperience 5 amazing worlds set in different locations to different music - over 70 levels in all!─────────────────────This full version of Hot Donut is completely ad-free!""]"
B077ZLV3LG,Bingo Win: Play Bingo with Friends!,"['Feeling lucky? Try your luck in the best Free Bingo Games on Amazon: Bingo Win!An ideal pastime entertainment for the whole family and party. Grandma\'s favorite casual online casino game. Top free games 2020.More than 30 themed rooms with delicate art design and jolly BGM. Travel around and claim generous rewards while collecting iconic items. Much more than classic monopoly Bingo rules, brand new winning patterns in Super Bingo are to be discovered. Pack up for your slingo adventure now with big win in the best games 2020. Play with multiple cards, up to 8 each round and enjoy fantastic bingo rewards. The more cards you buy, the higher chance to call BINGO and WIN BIG! Even better are the various Power Ups that help double and boost your winning!Lucky win Casino! No matter you are a yathzee fan, or keno lottery lover, wait to be dazzled by Jackpot magic in Jackpot city slots. Spin the wheel and enjoy bonus game.Feel the thrill with this online multiplayer games! Live tournament with multiplayers games online all around the world. Challenge yourself and see who gets the first BINGO! Scratch and offline games to be updated soon, no wifi required.Bingo Win brings you more:- Free Daily Sign-in Bonus. Remember to check back your Free credits and coins EVERY day.- Spin Lucky Wheel of fortune every 24 hours- Classic fruit slot machine while waiting for the new round- Fantastic Jackpot prizes- Holiday themed lobby with special offers- Level up Bonus as you unlock more rooms- Play with friends as in Tombola Bingo community, while enjoy the fun like real life Mecca Bingo. Send and request Gifts are also available- Wheel of Fortune Slots- Games without wifiReady to call ""BINGO""? Come in NOW and jump for JOY! Have FUN!Any suggestions? We would love to hear from you! You can reach us, the best support team at: bingowin.service@gmail.comAlready a big fan of Bingo Win? Make sure to LIKE us on Facebook: https://www.facebook.com/bingowingames/Disclaimer:* Bingo Win is intended for use for amusement purposes only. THERE IS NO REAL CASH PAYOUT YOU CAN EARN.* Practice or success at social casino gaming does not imply future success at ""real money gambling.""']"
B00FP59C36,RealPlayer Cloud (Kindle & Fire Phone edition),"[""RealPlayer Cloud “…like Dropbox for videos” Enjoy your videos from your Kindle Fire on TV wirelessly through Roku. No more worrying about video format, video conversion, or carrying HDMI and USB cables. It just works! Get RealPlayer Cloud app for your other devices like iPhone, iPad, Android phones, Windows tablets & PC and enjoy your videos anytime, anywhere! With RealPlayer Cloud you can: · Watch your PC, phone & tablet videos on TV wirelessly· Share your videos with friends & family privately· Organize your video collection· Move videos across all your devices WATCH YOUR VIDEOS ON TV With RealPlayer Cloud’s SurePlayTM technology, all your videos can be wirelessly streamed to your TV giving you a high-quality and uninterrupted viewing experience. RealPlayer Cloud is also available for Kindle Fire TV, Roku and Chromecast. SHARE YOUR VIDEOS PRIVATELY Why publicly post on Youtube and Facebook when you can share your videos privately and securely? We value your privacy and security. Share your videos securely and privately with your family and friends; recipients don’t even need the app to watch your videos securely. ORGANIZE YOUR VIDEO COLLECTION Clear the clutter! From deciding the upload quality of your video to creating your own personalized collections, with RealPlayer Cloud you can now organize your entire video collection at the touch of a button. Here’s what the press has to say about RealPlayer Cloud: “I've been testing RealPlayer Cloud on all these devices… I think RealPlayer Cloud is well-designed and makes storing and sharing videos easy across different devices.” – Walt Mossberg, Wall Street Journal “With its new service, RealPlayer Cloud, the company is seeking to eliminate the hassles that can make sharing personal videos a challenge.” – Nick Wingfield, New York Times “RealPlayer Cloud… designed to facilitate seamless sharing and online storage for all of your non-DRM protected video. It's actually quite slick.” – Andrew Tarantola, Gizmodo “The best thing about RealPlayer Cloud is its integrated SurePlay technology…. With SurePlay built in, RealPlayer Cloud can play just about any video file on just about any device.” – Jaymar Cabebe, CNET""]"
